Address,Sold Price,Bedrooms,Bathrooms,Area (SqFt),House Age
"22960 Crespi St, Woodland Hills, CA 91364",1100000,4.0,3.0,2005.0,
"18419 Erwin St, Reseda, CA 91335",801000,3.0,2.0,1017.0,
"22100 Burbank Blvd UNIT 250F, Woodland Hills, CA 91367",190000,0.0,1.0,358.0,
"4647 Willis Ave UNIT 217, Sherman Oaks, CA 91403",583500,3.0,2.0,1446.0,
"7431 Shadyglade Ave UNIT 4, North Hollywood, CA 91605",555000,2.0,2.0,964.0,
"11105 Emelita St, North Hollywood, CA 91601",1180000,4.0,3.0,1854.0,
"12345 Hillslope St, Studio City, CA 91604",2400000,3.0,4.0,2461.0,
"17547 Rushing Dr, Granada Hills, CA 91344",1300000,4.0,2.0,2223.0,
"13886 Paxton St, Pacoima, CA 91331",760000,3.0,2.0,1128.0,
"15936 Osborne St, North Hills, CA 91343",1050000,3.0,2.0,1858.0,
"18128 Sandringham Ct, Porter Ranch, CA 91326",1380000,4.0,4.0,3986.0,
"8328 Reading Ave, Los Angeles, CA 90045",1790000,4.0,2.0,2089.0,
"5104 Lindblade Dr, Los Angeles, CA 90230",1290000,3.0,3.0,1620.0,
"2200 Penmar Ave, Venice, CA 90291",1400000,4.0,3.0,2054.0,
"3660 Beethoven St, Los Angeles, CA 90066",2260000,4.0,5.0,3272.0,
"3544 S Centinela Ave APT 307, Los Angeles, CA 90066",590000,2.0,2.0,957.0,
"3214 Cardiff Ave, Los Angeles, CA 90034",2590000,4.0,3.0,2357.0,
"1663 Malcolm Ave APT 103, Los Angeles, CA 90024",1550000,3.0,4.0,2178.0,
"1006 Kagawa St, Pacific Palisades, CA 90272",1980000,,,,
"847 Iliff St, Pacific Palisades, CA 90272",1810000,,,,
"13176 Boca De Canon Ln, Los Angeles, CA 90049",5200000,4.0,5.0,3768.0,
"3328 Mandeville Canyon Rd, Los Angeles, CA 90049",2630000,3.0,3.0,2501.0,
"4553 Don Ricardo Dr, Los Angeles, CA 90008",678277,2.0,2.0,1221.0,
"1701 S Kingsley Dr, Los Angeles, CA 90006",865000,5.0,2.0,3050.0,
"1236 S Union Ave #8, Los Angeles, CA 90015",515000,3.0,3.0,1223.0,
"4210 Via Arbolada UNIT 205, Los Angeles, CA 90042",641000,2.0,2.0,1037.0,
"2236 Earl Ct, Los Angeles, CA 90039",1350000,2.0,2.0,955.0,
"3042 Glenhurst Ave, Los Angeles, CA 90039",1180000,5.0,3.0,3011.0,
"338 S Highland Ave, Los Angeles, CA 90036",3360000,5.0,6.0,4546.0,
"9636 S Harvard Blvd, Los Angeles, CA 90047",630000,2.0,1.0,1106.0,
"424 Island Ave, Wilmington, CA 90744",550000,4.0,4.0,2145.0,
"414 Island Ave, Wilmington, CA 90744",550000,4.0,4.0,2145.0,
"1116 Westmont Dr, San Pedro, CA 90731",995000,3.0,2.0,1350.0,
"1437 Dalmatia Dr, San Pedro, CA 90732",666999,2.0,3.0,1429.0,
"5565 Canoga Ave APT 205, Woodland Hills, CA 91367",375000,1.0,1.0,610.0,
"21001 Plummer St SPACE 46, Chatsworth, CA 91311",210000,2.0,2.0,1040.0,
"1017 N Croft Ave #301, West Hollywood, CA 90069",1620000,2.0,3.0,1392.0,
"3868 Scadlock Ln, Sherman Oaks, CA 91403",1350000,3.0,4.0,2010.0,
"219 Howland Canal, Venice, CA 90291",3200000,3.0,3.0,2354.0,
