Age,EstimatedSalary,Purchased
54,66421,1
57,25476,1
22,135530,1
38,117486,0
56,73628,1
27,15946,0
21,40863,1
58,97332,0
33,67733,0
50,68601,1
41,131380,1
25,135442,0
36,124456,0
38,83701,0
29,60890,0
58,26525,0
50,129056,0
52,45445,0
24,19295,1
56,73277,0
28,91951,0
38,148099,0
23,30373,0
53,109971,1
51,59535,0
58,103281,0
51,63885,1
50,88715,1
43,40477,0
20,146144,1
51,59262,1
32,79059,1
55,62692,1
52,139213,1
38,92022,0
55,8416,0
56,88117,1
51,9263,0
20,72605,0
20,101671,-1
47,100126,0
37,99697,-1
26,67984,0
44,14576,0
51,119831,1
34,142507,0
30,120212,1
52,11928,1
25,76527,0
37,43408,1
24,40739,0
49,64520,1
55,76839,0
24,118608,0
28,35108,1
59,82492,1
38,19938,1
38,58713,1
28,149291,1
34,128680,0
27,38854,0
24,33195,0
43,111625,1
30,91205,1
22,57454,0
57,49453,1
27,49657,1
56,110658,0
24,43838,1
47,146765,0
57,12259,1
43,74283,0
29,15045,1
24,112528,1
53,145085,1
28,135105,0
52,108046,0
36,28063,1
54,135450,0
40,94254,1
50,131990,1
37,106103,1
44,49303,0
37,93377,1
33,75616,1
24,16858,1
48,98913,1
47,113137,1
22,10360,0
37,85964,-1
43,60934,0
45,129118,-1
56,81729,0
41,98288,1
59,17352,1
20,45077,1
46,117738,1
39,17077,1
32,20594,0
55,125922,0
21,131771,1
28,72778,1
34,125768,0
57,91055,0
40,73863,0
42,17533,1
34,80438,0
45,82545,1
57,41887,0
53,93872,0
57,28226,1
57,106676,1
58,117308,0
22,31480,1
48,117586,0
28,120325,0
29,70705,0
30,58830,1
46,83730,0
59,51685,0
49,72916,-1
22,36663,1
49,15550,-1
44,27754,1
58,46569,0
57,87212,1
21,146257,0
55,136419,1
38,80053,1
29,72616,1
54,148470,0
51,23304,0
53,122750,0
36,67681,0
28,20179,-1
26,50668,1
51,50896,0
40,65459,1
53,124273,0
32,102428,0
34,25290,0
55,118019,1
39,66824,1
59,140569,1
40,136911,0
30,110497,0
37,11188,0
51,45530,1
52,62992,0
57,89069,0
54,144663,0
33,120951,1
22,13616,1
38,129437,0
49,49720,1
28,64792,1
41,57624,0
49,57241,1
54,124943,1
25,121697,1
22,125013,0
58,53727,0
51,65581,0
40,148372,1
37,103276,1
44,82826,0
20,74224,1
55,130972,1
45,54738,1
57,10848,0
21,136040,1
30,106907,0
31,66179,1
