Gender,Age,EstimatedSalary,Purchased
Male,54,66421,1
Male,57,25476,1
Female,22,135530,1
Female,38,117486,0
Female,56,73628,1
Female,27,15946,0
Female,21,40863,1
Female,58,97332,0
Female,33,67733,0
Male,50,68601,1
Female,41,131380,1
Male,25,135442,0
Female,36,124456,0
Female,38,83701,0
Female,29,60890,0
Male,58,26525,0
Female,50,129056,0
Female,52,45445,0
Female,24,19295,1
Female,56,73277,0
Male,28,91951,0
Male,38,148099,0
Male,23,30373,0
Male,53,109971,1
Female,51,59535,0
Female,58,103281,0
Female,51,63885,1
Female,50,88715,1
Male,43,40477,0
Female,20,146144,1
Male,51,59262,1
Female,32,79059,1
Male,55,62692,1
Male,52,139213,1
Female,38,92022,0
Male,55,8416,0
Female,56,88117,1
Male,51,9263,0
Male,20,72605,0
Male,20,101671,1
Male,47,100126,0
Male,37,99697,1
Male,26,67984,0
Male,44,14576,0
Male,51,119831,1
Male,34,142507,0
Male,30,120212,1
Male,52,11928,1
Female,25,76527,0
Female,37,43408,1
Female,24,40739,0
Male,49,64520,1
Female,55,76839,0
Female,24,118608,0
Male,28,35108,1
Female,59,82492,1
Male,38,19938,1
Female,38,58713,1
Female,28,149291,1
Female,34,128680,0
Female,27,38854,0
Male,24,33195,0
Male,43,111625,1
Female,30,91205,1
Male,22,57454,0
Male,57,49453,1
Male,27,49657,1
Male,56,110658,0
Male,24,43838,1
Male,47,146765,0
Female,57,12259,1
Male,43,74283,0
Male,29,15045,1
Female,24,112528,1
Female,53,145085,1
Male,28,135105,0
Male,52,108046,0
Female,36,28063,1
Male,54,135450,0
Female,40,94254,1
Male,50,131990,1
Female,37,106103,1
Female,44,49303,0
Female,37,93377,1
Male,33,75616,1
Female,24,16858,1
Female,48,98913,1
Female,47,113137,1
Male,22,10360,0
Female,37,85964,1
Male,43,60934,0
Female,45,129118,1
Male,56,81729,0
Male,41,98288,1
Male,59,17352,1
Male,20,45077,1
Female,46,117738,1
Male,39,17077,1
Male,32,20594,0
Female,55,125922,0
Male,21,131771,1
Male,28,72778,1
Male,34,125768,0
Female,57,91055,0
Female,40,73863,0
Male,42,17533,1
Female,34,80438,0
Female,45,82545,1
Male,57,41887,0
Female,53,93872,0
Male,57,28226,1
Female,57,106676,1
Male,58,117308,0
Female,22,31480,1
Female,48,117586,0
Male,28,120325,0
Female,29,70705,0
Male,30,58830,1
Male,46,83730,0
Female,59,51685,0
Male,49,72916,1
Female,22,36663,1
Female,49,15550,1
Female,44,27754,1
Female,58,46569,0
Female,57,87212,1
Female,21,146257,0
Female,55,136419,1
Male,38,80053,1
Female,29,72616,1
Female,54,148470,0
Male,51,23304,0
Male,53,122750,0
Male,36,67681,0
Male,28,20179,1
Female,26,50668,1
Male,51,50896,0
Female,40,65459,1
Male,53,124273,0
Male,32,102428,0
Male,34,25290,0
Female,55,118019,1
Male,39,66824,1
Male,59,140569,1
Male,40,136911,0
Female,30,110497,0
Male,37,11188,0
Female,51,45530,1
Male,52,62992,0
Male,57,89069,0
Female,54,144663,0
Male,33,120951,1
Male,22,13616,1
Female,38,129437,0
Male,49,49720,1
Female,28,64792,1
Female,41,57624,0
Male,49,57241,1
Female,54,124943,1
Male,25,121697,1
Female,22,125013,0
Male,58,53727,0
Female,51,65581,0
Male,40,148372,1
Female,37,103276,1
Female,44,82826,0
Female,20,74224,1
Male,55,130972,1
Female,45,54738,1
Female,57,10848,0
Male,21,136040,1
Female,30,106907,0
Female,31,66179,1
Female,44,59426,1
Male,49,43884,0
Male,32,147281,1
Female,27,28535,1
Male,31,11224,0
Female,34,111203,0
Female,28,104857,1
Male,51,27566,1
Female,32,99509,0
Male,30,129364,1
Female,54,111363,0
Female,46,127052,1
Female,45,73794,0
Male,58,122354,0
Female,30,129183,0
Female,31,97477,1
Male,38,124058,1
Male,51,26282,1
Female,45,140515,1
Female,20,106102,0
Female,20,31322,1
Female,20,29442,1
Female,31,51117,0
Male,22,108115,0
Male,51,108474,1
Male,23,33788,1
Male,29,62423,0
Male,47,50270,1
Female,56,72772,0
Male,23,96540,1
Male,29,13303,1
Male,49,146788,1
Female,43,77242,1
Male,34,13778,1
Female,45,53405,1
Male,40,33384,0
Male,33,45428,1
Female,37,117049,1
Female,27,67944,1
Female,31,46891,0
Female,26,53822,1
Male,33,80365,0
Female,38,85151,0
Female,42,14840,0
Male,27,121151,1
Male,54,19309,1
Male,30,28564,0
Male,58,27049,0
Female,56,120419,1
Male,55,82269,0
Female,51,77288,1
Female,51,86119,0
Female,42,29357,0
Male,56,97099,0
Female,52,132432,0
Male,39,90130,0
Female,42,49489,1
Male,33,55308,1
Female,55,68561,0
Male,32,57248,0
Female,56,85892,0
Female,29,11493,1
Male,47,110621,0
Male,52,124030,0
Male,28,112069,0
Female,46,30360,0
Female,48,17160,1
Female,54,87449,1
Female,39,42861,0
Male,39,134609,0
Male,37,99617,1
Male,28,130832,1
Male,44,23687,1
Female,28,67585,0
Female,31,84673,1
Female,34,11570,1
Male,25,109071,1
Female,42,62256,1
Male,42,125349,1
Female,53,129952,0
Male,56,82119,1
Female,49,33661,1
Female,25,50125,1
Female,40,65837,0
Female,38,49755,0
Male,22,67495,1
Female,53,120151,1
Male,40,23862,0
Female,48,11833,0
Female,53,139311,1
Male,32,124013,1
Female,30,16380,0
Female,32,62198,1
Female,31,57603,0
Female,36,56531,1
Female,30,45146,0
Female,35,47786,0
Female,51,116319,1
Male,59,39649,1
Male,32,80573,0
Female,39,71111,1
Male,27,55722,0
Male,41,37512,0
Male,33,138644,1
Female,39,97197,1
Male,57,19905,0
Male,57,80369,0
Male,50,145719,0
Female,59,16169,0
Male,57,140013,1
Male,46,41589,1
Female,54,26538,0
Female,35,126028,1
Female,47,90014,0
Female,34,48397,1
Female,31,41297,1
Male,46,40647,1
Female,26,122799,1
Female,44,92168,1
Female,34,59515,1
Female,24,116068,0
Male,34,111917,1
Female,39,74641,1
Male,43,50686,1
Female,54,26838,1
Male,57,36853,0
Male,36,76478,0
Female,22,8663,0
Male,41,142268,0
Female,30,78592,1
Male,33,83268,1
Female,57,94307,0
Male,27,35845,1
Male,31,94659,0
Male,25,59234,0
Male,54,115948,1
Female,39,111466,0
Female,33,108165,1
Male,35,61822,1
Male,33,34642,0
Female,22,109215,1
Female,52,41336,0
Female,57,53762,1
Female,27,96449,1
Male,46,57044,0
Female,58,116415,0
Male,44,141005,1
Male,52,78835,1
Male,29,36103,0
Male,28,29409,1
Male,43,24212,0
Female,39,87185,1
Male,59,100939,1
Male,57,131995,1
Male,56,94363,1
Female,38,122786,1
Male,35,19312,0
Male,37,114507,1
Male,37,12472,0
Male,25,96322,0
Male,43,128091,0
Female,34,26942,1
Male,39,87860,1
Male,51,116068,0
Male,51,96267,1
Male,42,148093,1
Male,43,99265,1
Female,37,84908,0
Female,53,59279,1
Female,24,97713,0
Male,22,129815,1
Male,26,64935,1
Female,57,117586,1
Male,58,117119,0
Female,24,145479,1
Male,28,68754,0
Male,22,14050,1
Female,27,130311,1
Male,47,145605,1
Male,44,71661,1
Female,47,93094,0
Female,28,108073,1
Male,22,132718,0
Male,51,64830,1
Male,21,124223,0
Female,38,94630,0
Male,28,34273,0
Male,38,28804,0
Female,27,134290,1
Male,37,141533,0
Male,25,12155,1
Female,35,98953,0
Male,33,100478,1
Female,45,143009,1
Male,49,55841,1
Female,34,91931,1
Female,35,70648,0
Female,48,9942,0
Female,22,127659,1
Female,30,141069,1
Male,34,107574,0
Female,48,78639,1
Male,58,143995,0
Female,53,120453,0
Male,50,126278,1
Male,32,13851,1
Male,50,96947,0
Female,36,131391,0
Female,57,62904,0
Female,44,79531,0
Female,22,126127,0
Female,37,102616,0
Female,26,80414,0
Female,47,134762,0
Female,39,23069,1
