Age,EstimatedSalary,Gender_Male,Purchased
27,57367,False,1
57,37122,False,0
58,43104,False,0
31,18422,True,1
56,68899,True,0
44,82826,False,0
27,77768,False,1
48,74758,False,1
55,119035,False,0
57,49453,True,1
55,118019,False,1
36,104005,False,1
55,42359,True,0
34,120628,False,1
37,12472,True,0
33,25986,False,1
25,109071,True,1
53,32041,False,1
37,109202,True,1
27,35845,True,1
51,132623,True,1
54,63473,False,0
37,43408,False,1
47,37568,False,0
22,135530,False,1
34,118238,True,1
27,130311,False,1
49,116696,False,1
21,116216,True,1
26,64935,True,1
33,79901,False,0
26,142146,True,1
36,69510,True,1
52,139213,True,1
32,79059,False,1
55,68561,False,0
51,112146,True,0
20,106102,False,0
43,128091,True,0
38,117486,False,0
49,146788,True,1
26,42745,False,0
59,111670,False,0
31,94659,True,0
53,93872,False,0
30,146727,True,0
36,28063,False,1
33,75616,True,1
47,90014,False,0
44,49303,False,0
46,65399,False,1
44,56991,False,0
25,67475,False,0
54,49652,True,0
43,24212,True,0
50,95444,True,1
47,143237,True,1
33,24286,False,1
27,15946,False,0
57,105840,True,1
50,80550,False,0
39,17077,True,1
31,57603,False,0
21,124223,True,0
20,147699,True,0
29,141317,True,0
36,131391,False,0
22,146489,False,0
57,62904,False,0
52,56440,True,1
46,83730,True,0
51,131141,True,1
42,62256,False,1
58,50904,True,0
50,68601,True,1
22,108115,True,0
26,104008,False,1
37,106103,False,1
50,148787,True,0
46,40646,False,1
58,103429,False,0
48,17160,False,1
26,122799,False,1
27,67944,False,1
45,65713,False,1
28,34273,True,0
40,123836,True,0
52,132432,False,0
31,28504,False,0
22,116543,False,1
39,58318,False,1
51,9679,False,0
42,68058,False,0
37,141533,True,0
23,10470,False,0
22,69311,False,1
21,44897,True,1
58,97332,False,0
28,64792,False,1
21,130914,True,1
26,100893,False,1
23,96521,False,0
28,11113,False,1
51,112120,True,0
55,107159,False,0
34,26942,False,1
22,44352,True,0
33,121120,True,1
27,43692,False,1
21,24335,True,0
30,20243,True,0
55,105391,False,1
41,106232,False,1
33,40843,True,0
29,12852,True,1
39,90130,True,0
44,71661,True,1
23,71033,False,0
31,46891,False,0
40,94254,False,1
52,62992,True,0
30,78592,False,1
29,26570,True,0
29,46398,False,0
54,118044,False,1
24,97713,False,0
42,81410,False,1
56,62400,True,1
36,67681,True,0
59,23728,False,0
35,61822,True,1
52,120350,False,1
21,101152,False,0
54,66421,True,1
27,96449,False,1
26,50295,True,0
46,57449,False,1
57,101104,True,0
36,12780,True,1
32,89168,False,1
21,64393,False,1
31,66179,False,1
57,87212,False,1
21,129130,True,1
52,20990,True,0
49,80632,True,1
21,145529,False,0
43,60934,True,0
36,148290,True,1
32,99509,False,0
27,55722,True,0
44,97782,False,1
47,146765,True,0
44,92168,False,1
51,23304,True,0
22,8663,False,0
36,134938,True,0
57,131995,True,1
40,136911,True,0
39,28486,True,0
58,66237,False,0
26,50668,False,1
21,121727,False,0
37,103276,False,1
43,40477,True,0
42,31083,False,0
20,31322,False,1
28,146905,False,1
33,136121,True,1
57,10848,False,0
26,145761,True,1
34,25290,True,0
44,59426,False,1
21,40863,False,1
45,126332,False,1
56,131199,False,0
24,112528,False,1
57,121255,False,1
46,56697,False,0
46,30360,False,0
30,110497,False,0
23,13028,False,0
29,11493,False,1
58,27049,True,0
39,149002,False,0
33,20281,True,0
53,122750,True,0
33,106461,False,0
39,119564,False,1
45,73794,False,0
37,99697,True,1
29,132761,True,0
57,41887,True,0
53,105143,False,0
38,19938,True,1
38,27935,False,1
57,123042,True,0
29,89468,True,1
41,86269,False,0
51,59535,False,0
32,44273,False,1
47,33157,True,1
46,43141,False,0
20,50405,True,0
20,50131,True,0
44,39914,False,1
42,148093,True,1
49,64520,True,1
20,74027,False,1
49,69105,False,0
21,79101,False,1
34,75106,False,1
30,16380,False,0
31,10029,False,0
36,104022,False,0
43,136406,True,0
47,47730,True,0
51,64511,True,0
35,102643,True,0
24,19295,False,1
40,57169,False,1
30,93122,True,0
49,27754,False,0
39,47722,True,1
49,55841,True,1
37,93377,False,1
24,33195,True,0
58,67162,True,1
32,80573,True,0
35,126028,False,1
38,28804,True,0
28,108073,False,1
41,109065,False,1
57,19905,True,0
36,124456,False,0
30,129364,True,1
34,91931,False,1
40,66985,False,0
28,46276,True,1
51,77288,False,1
42,125259,False,1
51,42573,True,0
31,87080,True,0
55,130364,False,0
52,89081,True,0
27,32615,True,1
27,28535,False,1
55,26917,False,1
52,16403,False,0
50,41371,False,0
20,116323,True,0
48,35663,False,0
40,148372,True,1
34,11570,False,1
20,107614,False,0
38,103307,False,0
32,56689,True,1
58,143995,True,0
26,131596,True,1
53,145085,False,1
22,31480,False,1
43,8328,False,1
30,42591,True,1
34,11572,False,1
40,73863,False,0
48,117586,False,0
41,50787,True,0
56,72157,True,0
27,79970,True,0
44,88314,False,1
56,81729,True,0
35,113704,False,0
37,85964,False,1
51,116068,True,0
21,137730,True,0
20,79374,True,0
34,115695,True,0
38,22530,True,0
22,113455,True,1
50,16454,True,0
59,17352,True,1
25,135442,True,0
47,130248,True,0
26,76182,True,0
44,14576,True,0
26,67984,True,0
35,19312,True,0
55,130972,True,1
46,89772,True,0
54,35287,False,0
44,37388,True,1
48,71050,False,0
21,131771,True,1
34,109115,True,0
34,111203,False,0
30,84495,False,0
46,113390,False,0
20,113256,False,0
38,51272,True,1
46,77871,False,0
31,11224,True,0
33,121797,True,1
47,51724,True,0
28,81274,False,0
39,14821,True,1
33,77394,False,1
22,126127,False,0
35,50987,True,0
48,14612,True,1
38,49755,False,0
49,31196,False,1
39,87860,True,1
58,26525,True,0
39,87185,False,1
53,86258,True,1
55,82269,True,0
28,104857,False,1
37,134291,True,1
23,30373,True,0
51,64830,True,1
58,34670,False,1
30,54047,True,0
37,84908,False,0
45,149378,True,0
52,43589,True,0
37,15652,True,1
29,13303,True,1
35,56558,True,1
41,98288,True,1
27,25550,False,0
24,43838,True,1
37,134422,True,1
54,26538,False,0
48,79499,False,0
55,140883,True,0
38,129437,False,0
28,135105,True,0
53,24572,False,1
39,43057,False,0
31,97477,False,1
59,39649,True,1
52,124030,True,0
39,17890,True,1
30,58830,True,1
46,110142,False,0
53,47784,False,0
41,87651,True,1
45,11089,False,0
21,146257,False,0
29,70705,False,0
58,74127,False,1
32,121684,False,0
38,58713,False,1
30,52544,False,1
33,95757,False,0
35,70648,False,0
30,45146,False,0
30,120212,True,1
22,14050,True,1
31,51117,False,0
42,123772,True,0
39,100561,False,0
49,101621,True,0
32,124013,True,1
44,116853,False,1
40,59766,False,0
57,94307,False,0
53,59279,False,1
20,147404,False,1
55,122290,False,0
57,89069,True,0
58,46569,False,0
55,53432,False,1
24,40739,False,0
47,93094,False,0
39,98030,False,1
39,66824,True,1
34,119208,True,0
24,113929,False,1
41,62961,False,0
52,78835,True,1
56,73277,False,0
56,98987,True,0
47,97133,False,1
44,32243,False,0
48,100683,True,0
39,82782,True,0
31,18961,True,1
20,72605,True,0
32,147281,True,1
44,23687,True,1
44,61444,True,1
27,102946,True,0
57,83406,False,0
45,29534,False,1
49,49720,True,1
34,48397,False,1
21,129372,True,0
29,138922,False,1
48,108511,True,1
52,45445,False,0
55,136419,False,1
28,29409,True,1
25,50125,False,1
54,110158,True,1
58,129836,True,0
51,26282,True,1
28,120325,True,0
38,108670,True,1
23,122372,False,0
51,27566,True,1
41,142268,True,0
43,60509,True,0
32,50326,True,1
58,127802,False,1
34,129370,False,1
38,144700,False,0
49,55127,True,1
44,127519,True,1
34,142507,True,0
51,102596,True,1
49,57241,True,1
24,76013,True,1
30,106907,False,0
50,129056,False,0
22,19487,True,0
25,76527,False,0
57,125544,False,0
27,119617,True,0
29,37197,False,0
35,59836,True,1
27,47616,True,0
46,41589,True,1
55,45272,True,0
54,118117,False,1
42,29357,False,0
51,63885,False,1
26,9016,False,0
57,111960,False,1
26,66047,True,0
35,98953,False,0
42,49489,False,1
51,9263,True,0
44,131154,True,1
48,78639,False,1
50,140812,True,0
28,122755,False,1
45,68498,True,1
38,118536,True,0
24,67312,True,0
20,29442,False,1
39,106000,True,0
26,22616,False,0
59,130715,False,0
24,62790,False,0
59,143919,True,0
58,46529,True,0
39,52113,True,0
51,65581,False,0
28,98044,True,0
22,13616,True,1
21,119786,True,1
57,76683,True,1
31,128186,True,1
57,106676,False,1
56,97099,True,0
57,120477,False,0
57,91055,False,0
38,85006,False,1
38,27328,False,0
32,34490,False,1
52,94918,False,0
40,137236,False,0
37,90371,False,1
59,51685,False,0
24,118608,False,0
33,120951,True,1
22,107506,False,0
33,30413,True,0
45,53405,False,1
49,133960,False,1
22,134082,False,0
23,60415,False,0
33,67733,False,0
24,67814,True,0
56,88117,False,1
41,69253,False,0
43,20327,False,0
56,82119,True,1
33,83268,True,1
43,61625,True,0
58,70516,True,1
36,46624,False,1
25,48127,False,1
26,135149,True,0
53,139311,False,1
33,96315,False,1
54,26838,False,1
42,112304,False,1
54,144663,False,0
38,133281,True,1
35,36593,False,1
36,45189,True,0
59,140355,False,0
42,58544,True,1
25,115616,False,1
51,45530,False,1
37,11188,True,0
24,84154,True,1
37,112968,True,1
29,43152,True,1
20,19047,False,1
28,68754,True,0
59,8916,True,1
59,100939,True,1
58,122354,True,0
44,27754,False,1
57,78554,True,1
48,43581,False,0
59,140569,True,1
35,30480,False,0
51,108474,True,1
42,8752,False,1
57,80369,True,0
24,116068,False,0
51,107855,True,1
49,15550,False,1
54,111363,False,0
23,96540,True,1
41,29335,False,1
28,67585,False,0
38,140563,False,0
56,35311,False,0
24,88406,False,1
39,79829,False,1
22,79086,True,0
32,47956,True,0
29,72616,False,1
45,55336,True,1
57,58592,False,1
35,107774,False,0
39,105814,False,1
50,76427,False,1
56,123320,True,1
30,28564,True,0
54,12424,False,1
36,25138,False,0
34,132728,False,1
45,123473,True,1
58,84606,False,1
57,37075,False,1
52,73128,False,0
22,94102,False,0
47,134762,False,0
23,35085,False,0
22,116573,False,1
36,56531,False,1
40,34746,False,1
44,105120,False,0
21,135473,False,1
58,117308,True,0
38,90294,True,0
32,57248,True,0
54,128794,True,0
43,119479,True,1
40,20165,True,0
34,107574,True,0
44,141295,True,0
34,32061,True,0
56,85892,False,0
34,125280,False,1
41,133547,False,0
46,57044,True,0
26,53344,False,0
50,95812,True,1
47,147324,True,0
21,30140,False,1
38,94630,False,0
22,67495,True,1
25,20609,False,0
53,56966,False,1
47,99353,True,0
57,140013,True,1
53,120453,False,0
37,102616,False,0
51,86119,False,0
52,26377,False,0
49,137604,False,1
25,50475,True,1
24,145479,False,1
23,120624,True,0
42,117755,True,1
35,30446,False,0
27,82057,True,1
59,38275,False,1
25,133066,True,1
47,132216,True,1
31,106570,False,0
22,73016,False,0
51,99701,False,0
42,117136,False,1
31,83126,True,1
23,37308,False,0
58,77959,True,0
24,16858,False,1
39,134609,True,0
53,11710,False,1
25,121697,True,1
37,108528,True,0
55,8416,True,0
26,24957,False,1
21,136040,True,1
23,137026,True,1
55,127099,True,0
37,95092,True,0
46,128178,True,0
27,82862,True,0
29,77225,False,1
20,45077,True,1
32,123669,True,0
54,87449,False,1
59,55807,True,0
34,102195,False,1
52,135065,False,0
45,53676,False,0
57,128418,True,1
46,107582,False,1
34,13778,True,1
43,64241,True,0
40,137348,False,0
